"table__cell","table__cell 2","table__cell 3","table__cell 4","table__cell 5","table__cell 6","table__cell 7","icon-elbow","icon-elbow href"
"Madrid","5.573 €/m2","+ 1,9 %","+ 6,4 %","+ 24,6 %","5.573 €/m2 mayo 2025","0,0 %","",""
"","5.669 €/m2","+ 3,6 %","+ 6,8 %","+ 19,2 %","5.669 €/m2 mayo 2025","0,0 %","Arganzuela","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/arganzuela/"
"","4.373 €/m2","+ 7,2 %","+ 6,1 %","+ 19,1 %","4.373 €/m2 mayo 2025","0,0 %","Barajas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/barajas/"
"","3.231 €/m2","+ 2,9 %","+ 8,3 %","+ 20,8 %","3.231 €/m2 mayo 2025","0,0 %","Carabanchel","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/carabanchel/"
"","7.198 €/m2","+ 2,9 %","+ 6,6 %","+ 16,0 %","7.198 €/m2 mayo 2025","0,0 %","Centro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/centro/"
"","7.246 €/m2","+ 1,9 %","+ 6,2 %","+ 16,6 %","7.246 €/m2 mayo 2025","0,0 %","Chamartín","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamartin/"
"","8.099 €/m2","+ 2,9 %","+ 7,1 %","+ 22,1 %","8.099 €/m2 mayo 2025","0,0 %","Chamberí","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamberi/"
"0,0 %","4.480 €/m2","+ 9,6 %","+ 22,9 %","","n.d.","4.480 €/m2 mayo 2025","Ciudad Lineal","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/ciudad-lineal/"
"","4.829 €/m2","+ 1,6 %","+ 7,2 %","+ 20,6 %","4.829 €/m2 mayo 2025","0,0 %","Fuencarral","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/fuencarral/"
"","4.950 €/m2","+ 2,4 %","+ 6,0 %","+ 14,2 %","4.950 €/m2 mayo 2025","0,0 %","Hortaleza","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/hortaleza/"
"","5.691 €/m2","+ 1,7 %","+ 5,6 %","+ 17,7 %","5.691 €/m2 mayo 2025","0,0 %","Moncloa","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moncloa/"
"- 4,4 %","2.816 €/m2","+ 3,5 %","+ 7,9 %","+ 19,4 %","2.944 €/m2 abr 2008","","Puente de Vallecas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/puente-de-vallecas/"
"","7.286 €/m2","+ 1,1 %","+ 6,2 %","+ 34,7 %","7.286 €/m2 mayo 2025","0,0 %","Retiro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/retiro/"
"","9.687 €/m2","+ 1,0 %","+ 6,8 %","+ 26,3 %","9.687 €/m2 mayo 2025","0,0 %","Salamanca","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/salamanca/"
"- 3,9 %","3.513 €/m2","+ 2,0 %","+ 6,9 %","+ 19,2 %","3.656 €/m2 nov 2007","","San Blas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/san-blas/"
"","5.336 €/m2","+ 0,6 %","+ 7,1 %","+ 18,8 %","5.336 €/m2 mayo 2025","0,0 %","Tetuán","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/tetuan/"
"- 4,1 %","2.998 €/m2","+ 1,1 %","+ 6,4 %","+ 21,6 %","3.127 €/m2 oct 2007","","Usera","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/usera/"
"","3.321 €/m2","+ 1,8 %","+ 5,2 %","+ 15,3 %","3.321 €/m2 mayo 2025","0,0 %","Vicálvaro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/vicalvaro/"
"0,0 %","3.231 €/m2","+ 8,5 %","+ 14,9 %","","n.d.","3.231 €/m2 mayo 2025","Villa de Vallecas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/villa-de-vallecas/"